TEST_NAME_ABBREVIATION	stringdist_group_id	position_in_group	group_size
s-ruisjae	37	130	148
s-ruocome	37	131	148
s-rvesv1e	37	132	148
s-rvesv5e	37	133	148
s-soijae	37	134	148
s-soijape	37	135	148
s-tattare	37	136	148
s-tonnike	37	137	148
s-tputree	37	138	148
s-tria14e	37	139	148
s-trvirie	37	140	148
s-turskae	37	141	148
s-varseer	37	142	148
s-vendves	37	143	148
s-vilj3er	37	144	148
s-vpene	37	145	148
s-vpenige	37	146	148
ts-kiire	37	147	148
u-menetel	37	148	148
-aspeag	38	1	121
-cmvvi	38	2	121
-frtuab	38	3	121
ab-artkaas	38	4	121
b-ba/abs	38	5	121
b-basabs	38	6	121
b-eosabs	38	7	121
b-jcv-ab	38	8	121
b-jcvab	38	9	121
b-ly/abs	38	10	121
b-mo/abs	38	11	121
b-ristaus	38	12	121
b-vr+vrab	38	13	121
cu-aika(s)	38	14	121
li-casp2ab	38	15	121
li-cob5abg	38	16	121
li-tbeab	38	17	121
li-tbeabg	38	18	121
li-tbeabm	38	19	121
p-aboabag	38	20	121
p-aboabam	38	21	121
p-aboabbg	38	22	121
p-aboabbm	38	23	121
p-aboabg	38	24	121
p-aboabm	38	25	121
p-b2gpabg	38	26	121
p-b2gpabm	38	27	121
p-ca-albk	38	28	121
p-urarasb	38	29	121
s-aridhas	38	30	121
s-ascaba	38	31	121
s-ascabg	38	32	121
s-aspeag	38	33	121
s-b2gpabg	38	34	121
s-b2gpabm	38	35	121
s-bopeab	38	36	121
s-bopeaba	38	37	121
s-bopeabg	38	38	121
s-bopeabm	38	39	121
s-ca(akt)	38	40	121
s-ca-akt	38	41	121
s-ca-albk	38	42	121
s-campab	38	43	121
s-campaba	38	44	121
s-campabg	38	45	121
s-campabm	38	46	121
s-casp2ab	38	47	121
s-chlaab	38	48	121
s-chlacf	38	49	121
s-chpnab	38	50	121
s-chpnaba	38	51	121
s-chpnabg	38	52	121
s-chpnabm	38	53	121
s-chtrab	38	54	121
s-chtraba	38	55	121
s-chtrabg	38	56	121
s-chtrabm	38	57	121
s-clteab	38	58	121
s-clteabg	38	59	121
s-cmvab	38	60	121
s-cmvabg	38	61	121
s-cmvabm	38	62	121
s-cmvavi	38	63	121
s-cob5abg	38	64	121
s-cobuab	38	65	121
s-cobuabg	38	66	121
s-cobuabm	38	67	121
s-crneag	38	68	121
s-ebnaab	38	69	121
s-ebvab	38	70	121
s-ebvabg	38	71	121
s-ebvabm	38	72	121
s-ebvabmo	38	73	121
s-ebvavi	38	74	121
s-ebvnabg	38	75	121
s-ema-aba	38	76	121
s-emaaba	38	77	121
s-emaba	38	78	121
s-emabg	38	79	121
s-enaab	38	80	121
s-enaabj	38	81	121
s-enaabla	38	82	121
s-enaabse	38	83	121
s-endoaba	38	84	121
s-enteabg	38	85	121
s-fascab	38	86	121
s-filaab.	38	87	121
s-frtuab	38	88	121
s-frtuaba	38	89	121
s-frtuabg	38	90	121
s-frtuabm	38	91	121
s-glpepabg	38	92	121
s-htlvab	38	93	121
s-htlvjt	38	94	121
s-jcvab	38	95	121
s-natsuab	38	96	121
s-tbeab	38	97	121
s-tbeabg	38	98	121
s-tbeabm	38	99	121
s-tocaab	38	100	121
s-tocaab.	38	101	121
s-tomaate	38	102	121
s-tox-abg	38	103	121
s-toxabcf	38	104	121
s-toxoab	38	105	121
s-toxoaba	38	106	121
s-toxoabg	38	107	121
s-toxoabm	38	108	121
s-toxoavi	38	109	121
s-toxocf	38	110	121
s-trpaab	38	111	121
s-ttgaba	38	112	121
s-ttgabg	38	113	121
s-vaskuab	38	114	121
s-viseabg	38	115	121
s-viseabm	38	116	121
s-vlseabg	38	117	121
s-vlseabm	38	118	121
sp-sperabg	38	119	121
ts-em-valu	38	120	121
u-raskaus	38	121	121
-cnab	39	1	110
-hivagab	39	2	110
li-amparab	39	3	110
li-gabarab	39	4	110
li-lgi1ab	39	5	110
li-nmdarab	39	6	110
p-dnegab	39	7	110
p-plab	39	8	110
p-tpoab	39	9	110
päivhivab	39	10	110
s-achr-ab	39	11	110
s-achrab	39	12	110
s-adrab	39	13	110
s-amparab	39	14	110
s-anaab	39	15	110
s-ancaab	39	16	110
s-aqp4ab	39	17	110
s-bp230ab	39	18	110
s-ccpab	39	19	110
s-cenp-ab	39	20	110
s-chikvab	39	21	110
s-cnab	39	22	110
s-codiab	39	23	110
s-denagab	39	24	110
s-dengab	39	25	110
s-dengabg	39	26	110
s-dengabm	39	27	110
s-dengag	39	28	110
s-dgpab	39	29	110
s-dgpaba	39	30	110
s-dgpabg	39	31	110
s-dnaab	39	32	110
s-dnan-ab	39	33	110
s-dnanab	39	34	110
s-dnanab.	39	35	110
s-dsg1ab	39	36	110
s-dsg3ab	39	37	110
s-dsgab	39	38	110
s-gabarab	39	39	110
s-gadab	39	40	110
s-gangab	39	41	110
s-gangabg	39	42	110
s-gangabm	39	43	110
s-gbmab	39	44	110
s-gbmif	39	45	110
s-glyrab	39	46	110
s-golim	39	47	110
s-golimab	39	48	110
s-goodpab	39	49	110
s-goodpk	39	50	110
s-gp210ab	39	51	110
s-hcvagab	39	52	110
s-heliabg	39	53	110
s-hivagab	39	54	110
s-hivagabt	39	55	110
s-hmgcrab	39	56	110
s-ia2ab	39	57	110
s-ifx-ab	39	58	110
s-igaab	39	59	110
s-ihoab	39	60	110
s-ihot-ab	39	61	110
s-ihotab	39	62	110
s-ihovab	39	63	110
s-inhibb	39	64	110
s-insu-ab	39	65	110
s-jgadab	39	66	110
s-keliab	39	67	110
s-kkab	39	68	110
s-langab	39	69	110
s-legiab	39	70	110
s-legiabg	39	71	110
s-legiabm	39	72	110
s-lgi1ab	39	73	110
s-lkmab	39	74	110
s-magab	39	75	110
s-matoab	39	76	110
s-mito-ab	39	77	110
s-mitoab	39	78	110
s-mogab	39	79	110
s-mpoab	39	80	110
s-mpoabg	39	81	110
s-myosab	39	82	110
s-negadab	39	83	110
s-nmdarab	39	84	110
s-pcnaab	39	85	110
s-pemfiab	39	86	110
s-pla2rab	39	87	110
s-plab	39	88	110
s-pmlab	39	89	110
s-pr3ab	39	90	110
s-pr3abg	39	91	110
s-psolab	39	92	110
s-raab	39	93	110
s-rabiab	39	94	110
s-rnpab	39	95	110
s-schiaab	39	96	110
s-schimab	39	97	110
s-siliab	39	98	110
s-smab	39	99	110
s-sp100ab	39	100	110
s-ssaab	39	101	110
s-ssbab	39	102	110
s-titiab	39	103	110
s-tpo-ab	39	104	110
s-tpoab	39	105	110
s-tsh-abr	39	106	110
s-tshrab	39	107	110
s-tyrab	39	108	110
s-virab	39	109	110
vt-hivagab	39	110	110
-slco1b1	40	1	52
-sytoblok	40	2	52
-sytokiir	40	3	52
b-sirolim	40	4	52
b-siroms	40	5	52
b-slco1b1	40	6	52
e-sprcoom	40	7	52
s-brucab	40	8	52
s-ckmakr	40	9	52
s-hisabbl	40	10	52
s-prlmakr	40	11	52
s-rib-pab	40	12	52
s-rickab	40	13	52
s-rnapoab	40	14	52
s-rnapol3	40	15	52
s-rnp70	40	16	52
s-rnp70-ab	40	17	52
s-rnp70ab	40	18	52
s-rnpabbl	40	19	52
s-rrnpabb	40	20	52
s-rubeab	40	21	52
s-rubeabg	40	22	52
s-rubeabm	40	23	52
s-ruoat	40	24	52
s-ruok5er	40	25	52
s-ruok5ry	40	26	52
s-ruokaer	40	27	52
s-ruokryh	40	28	52
s-salmab	40	29	52
s-salmaba	40	30	52
s-salmabg	40	31	52
s-salmabm	40	32	52
s-scl70-ab	40	33	52
s-scl70ab	40	34	52
s-scl70bl	40	35	52
s-serol-n	40	36	52
s-sindab	40	37	52
s-sindabg	40	38	52
s-sindabm	40	39	52
s-sindhi	40	40	52
s-smabbl	40	41	52
s-spnabnv	40	42	52
s-spnabvt	40	43	52
s-ssaabbl	40	44	52
s-ssbabbl	40	45	52
s-sterols	40	46	52
s-strdnab	40	47	52
s-stroab	40	48	52
s-trspab	40	49	52
s-trspab.	40	50	52
s-verensokeri	40	51	52
sms-1mak	40	52	52
li-borrab	41	1	20
li-borrabg	41	2	20
li-borrabl	41	3	20
li-borrabm	41	4	20
s-bor-abg	41	5	20
s-bor-abm	41	6	20
s-borabgjt	41	7	20
s-borabgv	41	8	20
s-borabjt	41	9	20
s-borabmjt	41	10	20
s-borabmv	41	11	20
s-borc6ab	41	12	20
s-borrab	41	13	20
s-borrab-l	41	14	20
s-borrabg	41	15	20
s-borrabm	41	16	20
s-borrc6	41	17	20
s-morbab	41	18	20
s-morbabg	41	19	20
s-morbabm	41	20	20
-calpro	42	1	92
4184sk-padihot	42	2	92
b-karyot	42	3	92
b-malarv	42	4	92
b-nakkrea	42	5	92
b-pakk-e	42	6	92
b-vara	42	7	92
b-varaspr	42	8	92
b.parapert	42	9	92
du-parprot	42	10	92
f-calpro	42	11	92
f-calpro2	42	12	92
fs-bkarot	42	13	92
fs-sappih	42	14	92
fs-sappihapot	42	15	92
li-kardab	42	16	92
li-varlikv	42	17	92
p-kardabg	42	18	92
p-kardabm	42	19	92
p-pakk-si	42	20	92
p-varainr	42	21	92
p-varmtr	42	22	92
p-varmtt	42	23	92
s-afmakro	42	24	92
s-afmaks1	42	25	92
s-afmaks2	42	26	92
s-afmaksa	42	27	92
s-caspähe	42	28	92
s-haspähe	42	29	92
s-hasspäe	42	30	92
s-karba	42	31	92
s-karbae	42	32	92
s-kardab	42	33	92
s-kardabg	42	34	92
s-kardabm	42	35	92
s-karni	42	36	92
s-karni-v	42	37	92
s-koopähe	42	38	92
s-leppäe	42	39	92
s-maapähe	42	40	92
s-maksa	42	41	92
s-maksa-1	42	42	92
s-maksa-2	42	43	92
s-maksa1	42	44	92
s-maksa2	42	45	92
s-maksaab	42	46	92
s-maksap	42	47	92
s-makspak	42	48	92
s-ohkarba	42	49	92
s-okarba	42	50	92
s-ovarab	42	51	92
s-pakast5	42	52	92
s-pakast7	42	53	92
s-pakaste	42	54	92
s-pakkas	42	55	92
s-pakkase	42	56	92
s-pakkask	42	57	92
s-pakkasl	42	58	92
s-pakkasn	42	59	92
s-pakkasv	42	60	92
s-papp-a	42	61	92
s-pappa	42	62	92
s-pappmom	42	63	92
s-parapäe	42	64	92
s-paras	42	65	92
s-paroab	42	66	92
s-paroabg	42	67	92
s-paroabm	42	68	92
s-parprot	42	69	92
s-parpäh	42	70	92
s-parvab	42	71	92
s-parvabg	42	72	92
s-parvabm	42	73	92
s-parvavi	42	74	92
s-pekpähe	42	75	92
s-sakspäe	42	76	92
s-sappih	42	77	92
s-valpr	42	78	92
s-valpr-v	42	79	92
s-valpro	42	80	92
s-vara	42	81	92
s-varah	42	82	92
sappihapot	42	83	92
sk-padihot	42	84	92
tupakka	42	85	92
u-gluprot	42	86	92
u-partik	42	87	92
u-partikk	42	88	92
u-rakkoai	42	89	92
u-sakka	42	90	92
u-valvott	42	91	92
u-varabak	42	92	92
-genläh	43	1	167
-genpyy	43	2	167
as-perust	43	3	167
cefalexin	43	4	167
clue-celle	43	5	167
e-fenoty	43	6	167
f-perfrvi	43	7	167
f-yersnh	43	8	167
f-yersnho	43	9	167
f-yersvi	43	10	167
fp-gastpan	43	11	167
fs-gastr	43	12	167
fs-gastr17	43	13	167
lateksi	43	14	167
li-perust	43	15	167
li-perust1	43	16	167
li-perust2	43	17	167
li-perust3	43	18	167
p-etoh	43	19	167
p-ferrit	43	20	167
p-meoh	43	21	167
p-reumafa	43	22	167
p-tsh-ong	43	23	167
p-tsh1:10	43	24	167
p-tsh1:2	43	25	167
p-tsh1:5	43	26	167
pd-perust	43	27	167
pf-perust	43	28	167
ph,seerumista	43	29	167
s-aurpulg	43	30	167
s-bartab	43	31	167
s-beeta-1	43	32	167
s-beeta-2	43	33	167
s-beta-1	43	34	167
s-beta-2	43	35	167
s-beta1	43	36	167
s-beta2	43	37	167
s-biofmc	43	38	167
s-ceakym	43	39	167
s-ceaver	43	40	167
s-cefacie	43	41	167
s-cenp	43	42	167
s-cer1	43	43	167
s-cer1/3	43	44	167
s-cer2	43	45	167
s-cer2/3	43	46	167
s-cer3	43	47	167
s-cer4	43	48	167
s-cer4/3	43	49	167
s-ecp	43	50	167
s-estdio	43	51	167
s-estdiol	43	52	167
s-etoh	43	53	167
s-etohgc	43	54	167
s-fenob	43	55	167
s-fenyt	43	56	167
s-fenytv	43	57	167
s-ferrit	43	58	167
s-flekain	43	59	167
s-gastr17	43	60	167
s-histab	43	61	167
s-hstesto	43	62	167
s-kefakle	43	63	167
s-kem10.1	43	64	167
s-kemkäs	43	65	167
s-kerulo	43	66	167
s-latekse	43	67	167
s-lehmhie	43	68	167
s-lehmäe	43	69	167
s-leptab	43	70	167
s-leu-eo	43	71	167
s-leu-es	43	72	167
s-leuab1	43	73	167
s-leuab2	43	74	167
s-leuabco	43	75	167
s-leuabi	43	76	167
s-leuabii	43	77	167
s-leuabpr	43	78	167
s-leuk-abo	43	79	167
s-leukab	43	80	167
s-leukab1	43	81	167
s-leukab2	43	82	167
s-leukabo	43	83	167
s-leukabw	43	84	167
s-leusyto	43	85	167
s-leuxcdc	43	86	167
s-listab	43	87	167
s-luusto	43	88	167
s-maitab	43	89	167
s-mehmyre	43	90	167
s-meoh	43	91	167
s-perfen	43	92	167
s-pistaae	43	93	167
s-pisto1	43	94	167
s-pisto2	43	95	167
s-puumab	43	96	167
s-puumabg	43	97	167
s-puumabm	43	98	167
s-puumabo	43	99	167
s-puumavi	43	100	167
s-puumpik	43	101	167
s-reumapa	43	102	167
s-reumpak	43	103	167
s-sae1-o	43	104	167
s-seer.tip	43	105	167
s-seerp	43	106	167
s-seerumi	43	107	167
s-seerumn	43	108	167
s-seerutip	43	109	167
s-sentab	43	110	167
s-sentabb	43	111	167
s-sentbab	43	112	167
s-serto	43	113	167
s-sertral	43	114	167
s-sital	43	115	167
s-t3-vdi	43	116	167
s-t4-vdi	43	117	167
s-teikab	43	118	167
s-teofy	43	119	167
s-tes-vlik	43	120	167
s-tesmsvl	43	121	167
s-testab	43	122	167
s-testo	43	123	167
s-testo-v	43	124	167
s-testo-vl	43	125	167
s-testoms	43	126	167
s-testov	43	127	167
s-testovi	43	128	167
s-testovl	43	129	167
s-thevulg	43	130	167
s-tk-äpkl	43	131	167
s-tr1horm	43	132	167
s-tr1kem	43	133	167
s-tr1tutk	43	134	167
s-tsh,s-t4v	43	135	167
s-tsh-peg	43	136	167
s-tshrefl	43	137	167
s-tshreflpt	43	138	167
s-tulehdus	43	139	167
s-tymidk	43	140	167
s-urtikar	43	141	167
s-ustek	43	142	167
s-ustekab	43	143	167
s-usteki	43	144	167
s-vedolab	43	145	167
s-vedolpa	43	146	167
s-vehnjae	43	147	167
s-vehnäe	43	148	167
s-venlaf	43	149	167
s-ye-col3	43	150	167
s-ye-col9	43	151	167
s-yer3ab	43	152	167
s-yer9ab	43	153	167
s-yerp1ab	43	154	167
s-yerp3ab	43	155	167
s-yersab	43	156	167
s-yersaba	43	157	167
s-yersabg	43	158	167
s-yersabl	43	159	167
s-ypstu1a	43	160	167
s-ypstu3	43	161	167
satks,haj	43	162	167
seerumi	43	163	167
seerumi10	43	164	167
seeruminph	43	165	167
sy-perust	43	166	167
ts-tmrfuus	43	167	167
-hhpvgt	44	1	89
-hhpvty	44	2	89
-hmpvag	44	3	89
-hpv16	44	4	89
-hpv18	44	5	89
-hpvohr	44	6	89
-hpvpapa	44	7	89
-hpvrf	44	8	89
-hsvag	44	9	89
-hvag	44	10	89
-mpvag	44	11	89
-rsvag	44	12	89
-vzvag	44	13	89
b-hemafc	44	14	89
b-hemat	44	15	89
b-heparab	44	16	89
b-heparin	44	17	89
b-hepartp	44	18	89
bm-hemafc	44	19	89
e-hypokr	44	20	89
f-hepyag	44	21	89
hmpvag	44	22	89
hpvpapa	44	23	89
hpvrefpapa	44	24	89
li-hemafc	44	25	89
li-hhv6abg	44	26	89
li-hhv6abm	44	27	89
li-hsv1abg	44	28	89
li-hsv2abg	44	29	89
li-hsvab	44	30	89
li-hsvabg	44	31	89
li-hsvabm	44	32	89
li-rsvabg	44	33	89
li-vzvab	44	34	89
li-vzvabg	44	35	89
li-vzvabm	44	36	89
p-hepar10	44	37	89
p-hepar5	44	38	89
p-heparm	44	39	89
ps-rsvag	44	40	89
s-havab	44	41	89
s-havabg	44	42	89
s-havabm	44	43	89
s-hbc-ab	44	44	89
s-hbcab	44	45	89
s-hbcabm	44	46	89
s-hbeab	44	47	89
s-hbeag	44	48	89
s-hbs-ab	44	49	89
s-hbs-ag	44	50	89
s-hbsab	44	51	89
s-hbsag	44	52	89
s-hbvpak	44	53	89
s-hcv-ab	44	54	89
s-hcvab	44	55	89
s-hdvab	44	56	89
s-hepabc	44	57	89
s-hepbc	44	58	89
s-hephiv	44	59	89
s-hepsid	44	60	89
s-hepyab	44	61	89
s-hepyaba	44	62	89
s-hepyabg	44	63	89
s-hevab	44	64	89
s-hevabg	44	65	89
s-hevabm	44	66	89
s-hhv6ab	44	67	89
s-hhv6abg	44	68	89
s-hhv6abm	44	69	89
s-hivab	44	70	89
s-hivag	44	71	89
s-hsv1abg	44	72	89
s-hsv2abg	44	73	89
s-hsvab	44	74	89
s-hsvabg	44	75	89
s-hsvabm	44	76	89
s-rsvab	44	77	89
s-rsvabg	44	78	89
s-vzvab	44	79	89
s-vzvabg	44	80	89
s-vzvabm	44	81	89
ts-hemafc	44	82	89
ts-hepyvi	44	83	89
vt-hbcab	44	84	89
vt-hbsab	44	85	89
vt-hbsag	44	86	89
vt-hcvab	44	87	89
vt-hcvkomb	44	88	89
vt-phivab	44	89	89
-igg	45	1	51
b-digoks	45	2	51
b-intoks	45	3	51
c6-indeksi	45	4	51
cu-igg	45	5	51
du-iglc	45	6	51
du-iglck	45	7	51
du-iglcl	45	8	51
iga+g+m	45	9	51
p-digoks	45	10	51
p-ig	45	11	51
p-iga	45	12	51
p-iga+g+m	45	13	51
p-ige	45	14	51
p-igg	45	15	51
p-igm	45	16	51
s-digoks	45	17	51
s-ifx	45	18	51
s-ig-oc	45	19	51
s-iga	45	20	51
s-iga+g+m	45	21	51
s-igd	45	22	51
s-ige	45	23	51
s-ige-ps	45	24	51
s-ige-pse	45	25	51
s-ige-ss	45	26	51
s-ige-sse	45	27	51
s-ige2pöl	45	28	51
s-ige2ruo	45	29	51
s-ige3pöl	45	30	51
s-igesiru	45	31	51
s-igf-1	45	32	51
s-igf1	45	33	51
s-igf1sds	45	34	51
s-igg	45	35	51
s-igg-oc	45	36	51
s-igg-sc	45	37	51
s-igg-sum	45	38	51
s-igg1	45	39	51
s-igg2	45	40	51
s-igg3	45	41	51
s-igg4	45	42	51
s-iglc-v	45	43	51
s-iglck-v	45	44	51
s-iglcl-v	45	45	51
s-iglcvex	45	46	51
s-igm	45	47	51
ts-digoks	45	48	51
u-iglck	45	49	51
u-iglcl	45	50	51
u-intoks	45	51	51
-inabcv19	46	1	28
-inrscov	46	2	28
-merscov	46	3	28
-paksucv19	46	4	28
-pmscl10	46	5	28
-pmscl75	46	6	28
-poccv19	46	7	28
-rajcv19	46	8	28
-rescov	46	9	28
-respcv19	46	10	28
glucocheck	46	11	28
kemiachem8	46	12	28
mers-cov	46	13	28
perus-screen	46	14	28
pm-sc1100	46	15	28
pm-sc175	46	16	28
pm-scl100	46	17	28
pm-scl75	46	18	28
rajcv19	46	19	28
sars-cov-2	46	20	28
tth-scng	46	21	28
tth-scrcdt	46	22	28
tth-screen	46	23	28
tth-screensuppea	46	24	28
tth-scrlaa	46	25	28
tth-scrpet	46	26	28
tth-scrsup	46	27	28
vitascreen	46	28	28
-pad	47	1	38
-tupa15	47	2	38
6146br-pad-4	47	3	38
6147gi-pad-4	47	4	38
bm-pad	47	5	38
bo-pad	47	6	38
bo-pad-4	47	7	38
br-pad-4	47	8	38
cn-pad	47	9	38
fs-mbopak6	47	10	38
fs-mbopak7	47	11	38
fs-mbopak9	47	12	38
fs-pak-1	47	13	38
fs-pak-3	47	14	38
fs-pak-4	47	15	38
fs-pak-8	47	16	38
fs-pak7	47	17	38
fs-ttpak11	47	18	38
fs-ttpaka	47	19	38
fs-ttpakmu	47	20	38
fs-ubikin	47	21	38
gi-pad-4	47	22	38
he-pad	47	23	38
ki-pad	47	24	38
ki-pad-if	47	25	38
ln-pad	47	26	38
lr-pad	47	27	38
lu-pad	47	28	38
lu-pad-4	47	29	38
m-pad	47	30	38
mbopak-7	47	31	38
mbopak-9	47	32	38
pi-pad	47	33	38
pl-pad	47	34	38
s-ttpaka	47	35	38
sk-pad-if	47	36	38
ts-tupa15	47	37	38
ug-pad-4	47	38	38
-psa-v/t	48	1	59
-sameus	48	2	59
b-panel-l	48	3	59
b-panel-m	48	4	59
b-panel-s	48	5	59
b-pax-dna	48	6	59
b-paxgenp	48	7	59
chlampneum	48	8	59
crp,herkkä	48	9	59
li-samenat	48	10	59
li-samesup	48	11	59
li-sameus	48	12	59
ln-padsenf	48	13	59
ln-padsent	48	14	59
metapneumo	48	15	59
mrsa-nenä	48	16	59
mrsa-nielu	48	17	59
mrsa-perin	48	18	59
mrsa-sevi	48	19	59
mrsaneni	48	20	59
mrsaperin	48	21	59
mrsasevi	48	22	59
mycoppneum	48	23	59
ngspanel	48	24	59
p-ps-agv	48	25	59
p-psa-i	48	26	59
p-psa-suh	48	27	59
p-psa-t	48	28	59
p-psa-v	48	29	59
p-psa-v/t	48	30	59
p-psagen	48	31	59
p-psaleik	48	32	59
p-psamob	48	33	59
p-psasäde	48	34	59
paxgene	48	35	59
pf-sameus	48	36	59
psa-v/psa-suhde	48	37	59
s-aitendo	48	38	59
s-crp,herkkä	48	39	59
s-osacdt	48	40	59
s-osacdtr	48	41	59
s-psa-suh	48	42	59
s-psa-suh,psa	48	43	59
s-psa-t	48	44	59
s-psa-v	48	45	59
s-psa-v/t	48	46	59
s-psa/oma	48	47	59
s-psatot+v	48	48	59
s-psav/t	48	49	59
s-ssa-52	48	50	59
s-ssa-60	48	51	59
s-sydämenikä	48	52	59
sk-padnerv	48	53	59
sp-anal-s	48	54	59
sy-sameus	48	55	59
sydämenuä	48	56	59
ts-pad-endo	48	57	59
ts-padendo	48	58	59
ts-panel-l	48	59	59
4043ts-padgast	49	1	64
4044pt-papa-1	49	2	64
4054ts-pad-1	49	3	64
4056ts-pad-3	49	4	64
4191ts-pad-ih	49	5	64
4194ts-pad-4	49	6	64
4764ts-padcolo	49	7	64
6388ts-padkolp	49	8	64
6389ts-padendo	49	9	64
ts-aa-o	49	10	64
ts-pad	49	11	64
ts-pad-0	49	12	64
ts-pad-0-u	49	13	64
ts-pad-1	49	14	64
ts-pad-1co	49	15	64
ts-pad-1tk	49	16	64
ts-pad-1tu	49	17	64
ts-pad-1x2	49	18	64
ts-pad-1x3	49	19	64
ts-pad-2	49	20	64
ts-pad-2tu	49	21	64
ts-pad-3	49	22	64
ts-pad-3co	49	23	64
ts-pad-3tu	49	24	64
ts-pad-4	49	25	64
ts-pad-4tu	49	26	64
ts-pad-5	49	27	64
ts-pad-5tu	49	28	64
ts-pad-bio	49	29	64
ts-pad-em	49	30	64
ts-pad-ev	49	31	64
ts-pad-if	49	32	64
ts-pad-ih	49	33	64
ts-pad-ih2	49	34	64
ts-pad-ihu	49	35	64
ts-pad-ish	49	36	64
ts-pad-lau	49	37	64
ts-pad-pnb	49	38	64
ts-pad-pol	49	39	64
ts-pad-tk	49	40	64
ts-pad-y	49	41	64
ts-pad1	49	42	64
ts-pad2	49	43	64
ts-pad4-hn	49	44	64
ts-padbrea	49	45	64
ts-padcns	49	46	64
ts-padcolo	49	47	64
ts-padfish	49	48	64
ts-padgas	49	49	64
ts-padgas2	49	50	64
ts-padgast	49	51	64
ts-padgyn	49	52	64
ts-padkolp	49	53	64
ts-padlis1	49	54	64
ts-padmakr	49	55	64
ts-padpak2	49	56	64
ts-padpak3	49	57	64
ts-padpika	49	58	64
ts-padpros	49	59	64
ts-padsuu	49	60	64
ts-padtuor	49	61	64
ts-patlask	49	62	64
ts.pad-ih	49	63	64
tspadbrea	49	64	64
b-egfr-pt	50	1	39
b-tcr-d	50	2	39
b-tcrg-d	50	3	39
bm-tcrg-d	50	4	39
oskhi-r	50	5	39
s-hfostr	50	6	39
s-home1er	50	7	39
s-homeer	50	8	39
s-homeryh	50	9	39
ts-basave	50	10	39
ts-braf-d	50	11	39
ts-brcamut	50	12	39
ts-breast	50	13	39
ts-ca1mut	50	14	39
ts-colotk	50	15	39
ts-colseul	50	16	39
ts-egfr-d	50	17	39
ts-egfrish	50	18	39
ts-gas1-tk	50	19	39
ts-gasttk	50	20	39
ts-her2ish	50	21	39
ts-hercish	50	22	39
ts-hnpcc	50	23	39
ts-hnpccih	50	24	39
ts-host	50	25	39
ts-hrd-d	50	26	39
ts-hs1mut	50	27	39
ts-igh-d	50	28	39
ts-jääleik	50	29	39
ts-kras-d	50	30	39
ts-makon-d	50	31	39
ts-mgmtmet	50	32	39
ts-ngssca1	50	33	39
ts-ngsshs1	50	34	39
ts-nras-d	50	35	39
ts-resepto	50	36	39
ts-tcr-d	50	37	39
ts-tcrg-d	50	38	39
ts-vgh-ml	50	39	39
b-verab-o	51	1	57
b-vrab-gr	51	2	57
b-vrab-ne	51	3	57
b-vrab-o	51	4	57
b-vrabgrs	51	5	57
b-vrabtnä	51	6	57
b-vrabtsp	51	7	57
b-vrabtu	51	8	57
b-vrabtu1	51	9	57
b-vrabtu4	51	10	57
b-vrabtu5	51	11	57
b-vrabtua	51	12	57
b-vrabtus	51	13	57
fs-monab-o	51	14	57
hbsag-o/ko	51	15	57
hbsag-o/lä	51	16	57
hcvab-o/ko	51	17	57
hcvab-o/lä	51	18	57
hivagab/ko	51	19	57
hivagab/lä	51	20	57
p-monab-o	51	21	57
p-vrab-0	51	22	57
p-vrab-o	51	23	57
p-vrabne	51	24	57
p-vrabo	51	25	57
p-vrabosp	51	26	57
s-ejab-o	51	27	57
s-hbcab-o	51	28	57
s-hbsag-o	51	29	57
s-hcvab-o	51	30	57
s-jo1ab	51	31	57
s-jo1ab-o	51	32	57
s-jo1abbl	51	33	57
s-kuab-o	51	34	57
s-lc1ab-o	51	35	57
s-lkmab-o	51	36	57
s-mda5-o	51	37	57
s-mi-2a-o	51	38	57
s-mi-2b-o	51	39	57
s-monab-o	51	40	57
s-monabo	51	41	57
s-mypabm-o	51	42	57
s-nxp2-o	51	43	57
s-ojab-o	51	44	57
s-pdhab-o	51	45	57
s-pl12-o	51	46	57
s-pl7ab-o	51	47	57
s-pm100-o	51	48	57
s-pm75abo	51	49	57
s-slaab-o	51	50	57
s-srpab-o	51	51	57
s-ssa52-o	51	52	57
s-tif1g-o	51	53	57
s-vrab-o	51	54	57
s-vrabtu	51	55	57
se-likvo-o	51	56	57
sy-kide-o	51	57	57
ps-str-vi	52	1	36
ps-str1vrk	52	2	36
ps-stra-ag	52	3	36
ps-stra-o	52	4	36
ps-straag	52	5	36
ps-straagp	52	6	36
ps-straag␤	52	7	36
ps-stragho	52	8	36
ps-stranho	52	9	36
ps-straohy	52	10	36
ps-straolb	52	11	36
ps-stravt	52	12	36
ps-strcult	52	13	36
ps-strjvi	52	14	36
ps-strnho	52	15	36
ps-strtunn	52	16	36
ps-strvi	52	17	36
s-stpn1	52	18	36
s-stpn10a	52	19	36
s-stpn11a	52	20	36
s-stpn12f	52	21	36
s-stpn14	52	22	36
s-stpn15b	52	23	36
s-stpn17f	52	24	36
s-stpn18c	52	25	36
s-stpn19f	52	26	36
s-stpn2	52	27	36
s-stpn20a	52	28	36
s-stpn23f	52	29	36
s-stpn33f	52	30	36
s-stpn4	52	31	36
s-stpn5	52	32	36
s-stpn6b	52	33	36
s-stpn7f	52	34	36
s-stpn8	52	35	36
s-stpn9v	52	36	36
-adennho	53	1	87
-calbnho	53	2	87
